TYPE	YEAR	MONTH	DAY	HOUR	MINUTE	HUNDRED_BLOCK	NEIGHBOURHOOD	X	Y
Offence Against a Person	2017	1	18	N/A	N/A	OFFSET TO PROTECT PRIVACY	N/A	0	0
Mischief	2017	2	10	13	7	49XX VICTORIA DR	Kensington-Cedar Cottage	49.23921495720019	-123.06532745449844
Theft of Vehicle	2017	8	15	0	0	36XX MAIN ST	Riley Park	49.25297342352594	-123.1008620484157
Mischief	2017	4	16	22	0	49XX WINDSOR ST	Kensington-Cedar Cottage	49.240251175402896	-123.084519900157
Theft from Vehicle	2017	6	30	22	41	4XX AUBREY PL	Riley Park	49.24429600710502	-123.09685421735965
Offence Against a Person	2017	1	18	N/A	N/A	OFFSET TO PROTECT PRIVACY	N/A	0	0
Theft from Vehicle	2017	5	29	17	30	4XX ALEXANDER ST	Strathcona	49.28395494683042	-123.09382416902942
Theft from Vehicle	2017	4	1	7	0	4XX ALEXANDER ST	Strathcona	49.284039379652	-123.09397406998255
Mischief	2017	2	18	3	15	4X BLOOD ALLEY SQ	Central Business District	49.28301973414867	-123.10509287033976
Offence Against a Person	2017	1	18	N/A	N/A	OFFSET TO PROTECT PRIVACY	N/A	0	0
